situation,risks,consequences,follow_up_questions,skills_required
Receiving first paycheck,overspending;not budgeting,not enough money for essentials;stress,How much do you plan to save?;Do you know your essential costs?,budgeting;saving
Getting first debit card,impulse purchases;not checking balance,overdraft fees;negative balance,Have you used a card before?;How often do you check your balance?,monitoring;self-control
Opening a bank account,choosing wrong account;ignoring fees,losing money to hidden fees,What do you need the account for?;Do you know about account fees?,financial product knowledge
Buying first phone plan,choosing expensive plan;not reading contract,unexpected bills,Do you know your monthly data needs?;Have you compared plans?,comparison shopping
Planning to move out,underestimating rent;ignoring utilities,debt;inability to afford rent,Do you know average rent?;Have you calculated monthly costs?,budgeting;cost estimation
Handling first rent payment,paying late;not tracking due dates,late fees;eviction risk,Do you track due dates?;Do you have a savings buffer?,time management;saving
Shopping with friends,peer pressure;impulse buying,regret;lower savings,Do you usually follow a budget?;Do friends influence your spending?,self-control;budgeting
Receiving student allowance,spending immediately;not saving,running out mid-month,Do you know how to divide allowance?;What are your biggest expenses?,saving;expense tracking
Getting summer job salary,spending on wants;not saving,missed opportunity to build buffer,How much do you want to save?;Do you track your spending?,saving;planning
Using first credit card,overspending;min-paying only,debt accumulation;interest charges,Do you know how credit interest works?;Why do you need a credit card?,credit awareness
Buying online,scams;hidden fees,loss of money,Have you checked seller ratings?;Do you compare prices?,risk awareness;comparison
Managing subscription services,forgetting cancellations,monthly drain,Do you track subscriptions?;Do you still use all of them?,tracking;budgeting
Planning for a holiday trip,not budgeting;overspending,debt;no funds for essentials,Have you saved for the trip?;What is your budget?,planning;saving
Receiving first tax letter,not understanding taxes,penalties;underpayment,Do you know how tax works?;Have you checked your payslip?,tax literacy
Buying first laptop,choosing expensive model;no price comparison,overspending,What features do you need?;Have you checked used options?,comparison;need assessment
Saving for a big purchase,giving up early;spending savings,delayed goals,What are you saving for?;How much per month can you commit?,saving;goal setting
Managing transportation costs,choosing costly options;not planning,overspending,Do you use public transport?;Do you track transport spending?,cost optimization
Paying phone bill late,forgetting deadlines,late fees;service cut,Do you track due dates?;Do you have savings for bills?,time management
Buying food daily,not meal planning,higher spending,Do you track food expenses?;Do you cook at home?,budgeting;meal planning
Handling unexpected expenses,no emergency fund,debt use,Do you have savings?;How much is your buffer?,saving;risk management
Getting first job contract,not understanding terms,underpayment,Do you know your hourly rate?;Do you track hours worked?,contract literacy
Using mobile payments too often,lack of visibility into spending,overspending,How often do you check your spending?;Do you track expenses manually?,tracking;self-awareness
Managing first scholarship,spending too quickly,running out early,Have you budgeted your scholarship?;What are your priorities?,budgeting;planning
Starting a side hustle,not tracking income;no tax awareness,legal/tax problems,How do you track earnings?;Do you set aside money for tax?,entrepreneurship;record-keeping
Buying fashion items,fear of missing out;overspending,regret;low savings,How often do you buy clothes?;Do you compare prices?,self-control;comparison
Choosing gaming purchases,impulsive in-app buys,unexpected charges,Do you set spending limits?;Do you track gaming costs?,impulse control
Managing first insurance (phone/health),not understanding coverage;excessive costs,wasted money,Do you know your deductible?;What risks matter to you?,risk assessment;financial literacy
Receiving first invoice,ignoring bill;not understanding it,late fees,Do you understand the invoice terms?;Do you track bills?,bill literacy
Buying gifts for friends,overspending due to pressure,money shortage later,Do you budget for gifts?;Do your friends expect expensive gifts?,social pressure management
Starting to invest for first time,choosing risky assets;not understanding risk,losing money,Why do you want to invest?;Do you know your risk profile?,risk awareness;investment basics
